"""Happy Vibes""",DJ Joy,Pop,0.9,0.8,125,0.85,Happy
"""Groove Time""",Dance Masters,EDM,1,0.7,128,0.9,Energetic
"""Summer Breeze""",Chill Beats,Chill,0.4,0.6,80,0.3,Relaxed
"""Party Anthem""",Night Beats,EDM,1,0.9,135,1,Energetic
"""Sad Melodies""",Heartbroken,Ballad,0.3,0.2,60,0.2,Sad
"""Dancefloor Hit""",DJ Beat,Pop,0.8,0.9,140,0.95,Happy
"""Romantic Night""",Soft Soul,R&B,0.6,0.8,90,0.5,Romantic
"""Night Chill""",Smooth Tunes,Chill,0.3,0.5,70,0.4,Relaxed
"""Breakup Blues""",The Sad One,Blues,0.2,0.1,65,0.1,Sad
"""Rooftop Party""",Club King,EDM,0.9,0.7,130,0.8,Energetic
"""Sunset Glow""",Calm Vibes,Chill,0.5,0.6,85,0.4,Relaxed
"""Sunset Glow""",Calm Vibes,Chill,0.5,0.6,85,0.4,Relaxed
"""Disco Fever""",The Dancer,Disco,1,0.8,120,0.95,Happy
"""Winter Blues""",Cold Soul,Blues,0.3,0.2,50,0.2,Sad
"""Electro Pop""",Neon Sparks,EDM,0.95,0.75,140,0.9,Energetic
"""Chill Out""",Lazy Beats,Chill,0.3,0.4,65,0.2,Relaxed
"""Love Struck""",Romance Queen,R&B,0.7,0.9,95,0.7,Romantic
"""Dreams of Peace""",Dreamer,Acoustic,0.2,0.3,60,0.2,Relaxed
"""Club Dance""",Dance King,EDM,1,0.9,128,0.95,Energetic
"""Tears""",Lonely Heart,Pop,0.3,0.1,70,0.1,Sad
"""Morning Glory""",Fresh Breeze,Pop,0.7,0.8,110,0.7,Happy
"""Quiet Night""",Deep Chill,Chill,0.2,0.5,50,0.2,Relaxed
"""Flame of Love""",Heart Throb,R&B,0.7,0.8,95,0.6,Romantic
"""Late Night Drive""",Midnight Vibes,Chill,0.4,0.6,75,0.4,Relaxed
"""Up All Night""",Party Time,EDM,1,0.85,140,1,Energetic
"""Golden Days""",Bright Sound,Pop,0.7,0.9,115,0.75,Happy
"""Fast Track""",Race Night,EDM,0.95,0.8,150,1,Energetic
"""Ocean Breeze""",Chill Waves,Chill,0.3,0.5,60,0.2,Relaxed
"""Tears of Gold""",Crying Star,Ballad,0.4,0.2,55,0.1,Sad
"""Night in Paris""",Paris Beats,Chill,0.6,0.7,90,0.6,Romantic
"""High Voltage""",The Shocker,Rock,0.8,0.6,145,0.9,Energetic
"""Moonlight Dream""",Sweet Voice,R&B,0.6,0.9,80,0.7,Romantic
"""Lost in the Waves""",Ocean Echo,Chill,0.3,0.4,70,0.3,Relaxed
"""Electric Love""",Sparks,Pop,0.9,0.85,130,0.95,Happy
"""Sad Lullaby""",Lonely Moon,Blues,0.2,0.1,50,0.15,Sad